6.75,6.36,7.28,234.41,235.42,239.50,19.61,44.13,117.48,37.65,86.81,51.27,238.58,238.69,243.17,237.03,235.67,236.52,237.47,238.00,243.55,236.86,237.89,242.76,236.24,237.40,241.54,237.13,236.75,242.73,241.19,240.49,246.02,240.22,240.85,247.06,241.25,242.08,247.24,241.71,241.92,248.34,241.16,240.88,246.28,240.44,239.90,244.94,239.72,240.35,245.86,239.57,239.83,244.13,6.62,6.39,7.43,5.99,5.91,7.00
18.85,42.68,113.41,19.82,43.84,116.48,173.04,64.85,106.24,19.29,8.48,7.92,54.42,13.04,10.01,103.38,19.25,13.31,150.54,29.11,20.15,7.81,10.74,29.37,42.01,13.19,25.17,90.25,18.10,21.86,148.17,28.05,27.02,11.30,26.81,77.38,23.00,33.40,94.85,68.37,35.77,83.05,124.71,36.62,66.35,171.94,47.46,66.58,9.25,6.59,7.18,6.69,6.47,8.43,6.35,5.45,6.81,19.73,44.86,118.27
38.00,85.36,50.65,19.87,43.60,115.18,158.89,61.04,103.29,19.32,10.85,8.61,56.29,15.34,10.51,109.27,20.88,13.33,152.58,29.94,19.94,10.15,13.55,28.36,38.67,16.31,27.99,87.58,21.32,24.57,150.09,29.80,27.75,12.03,30.12,86.21,23.59,35.95,98.81,69.27,38.02,86.89,125.24,38.12,68.66,172.89,49.44,69.19,13.41,8.92,9.40,9.15,8.99,12.43,8.79,6.79,8.75,19.63,44.96,118.12
19.40,42.93,111.55,38.65,86.37,50.85,174.94,61.06,99.66,18.74,16.91,10.58,56.66,22.59,12.75,115.10,27.55,14.75,157.41,33.12,19.65,11.87,20.96,34.39,38.78,24.71,33.35,88.64,31.30,31.96,155.36,37.96,33.19,13.57,38.66,105.90,24.10,44.12,109.74,70.99,46.33,100.76,128.14,46.46,78.11,176.81,55.82,74.05,19.45,13.14,13.65,13.82,13.47,18.15,13.68,10.06,13.05,19.57,44.61,117.02
37.62,84.91,49.53,38.77,86.38,51.26,172.87,64.70,104.62,22.99,29.03,15.63,54.39,33.33,15.49,119.36,41.04,18.13,167.80,44.77,24.50,12.59,31.21,38.21,37.02,35.31,36.99,89.60,44.77,40.18,161.75,52.40,42.50,15.31,50.93,124.33,26.45,53.24,111.24,70.13,60.51,114.15,132.38,60.30,89.90,184.10,68.43,84.83,27.05,19.48,19.99,19.94,19.68,25.48,19.90,14.92,18.88,20.06,44.82,116.89
20.35,43.53,110.36,19.31,43.03,113.50,17.41,38.19,21.35,25.08,42.68,21.23,54.53,48.52,20.04,120.90,57.49,22.15,179.26,64.83,34.69,14.86,44.65,41.18,38.47,50.76,42.92,88.79,61.38,46.02,168.93,73.29,51.95,17.34,65.06,128.70,30.01,66.58,114.14,67.15,76.39,119.96,137.85,82.82,111.28,191.93,86.92,98.13,36.13,27.40,27.95,27.85,27.47,34.56,28.22,21.77,26.66,38.33,87.52,50.88
37.73,85.09,49.66,19.58,43.30,113.05,20.15,50.43,27.55,27.43,57.66,28.15,55.05,67.60,27.08,120.02,78.90,27.44,189.25,89.42,45.48,19.15,59.70,46.12,41.42,69.91,49.62,87.05,80.27,51.78,172.86,96.64,59.82,22.06,80.18,124.58,33.35,82.00,116.63,69.95,93.86,121.66,137.06,107.31,127.26,194.15,107.39,109.64,47.61,37.38,37.89,37.57,36.98,45.25,37.76,30.00,35.70,38.32,87.14,50.75
19.14,42.24,109.66,38.32,86.62,50.89,24.34,63.84,33.94,29.81,70.22,34.86,57.32,88.04,35.72,117.74,102.70,33.92,197.90,116.57,55.78,25.66,74.74,51.81,43.24,89.08,55.87,91.81,106.55,60.74,174.40,123.36,68.06,30.99,95.82,119.28,38.12,100.73,121.40,73.58,117.05,131.51,133.70,132.31,136.48,202.85,136.82,130.01,60.93,49.17,50.32,48.85,48.64,58.00,48.23,39.32,45.90,38.07,87.04,50.75
37.63,85.36,49.97,38.41,86.86,51.51,31.54,77.53,43.67,36.41,82.75,44.31,63.58,104.68,52.28,119.64,130.07,47.19,205.75,145.84,56.34,34.29,86.09,56.91,52.68,103.28,65.48,92.82,127.71,69.59,172.67,149.87,72.97,41.36,105.83,110.74,48.96,113.10,115.31,78.04,134.49,129.81,137.73,163.31,146.88,216.26,174.35,146.73,76.08,62.61,63.81,62.85,62.47,73.19,61.60,51.58,59.10,38.83,87.32,51.18
20.01,43.04,109.53,19.68,43.59,114.39,37.76,85.96,50.40,41.99,90.71,51.97,65.71,109.96,60.66,112.94,137.58,66.83,211.27,175.87,56.37,43.18,96.39,64.94,57.34,107.51,70.44,88.72,129.29,79.29,158.12,164.42,81.28,51.82,112.78,105.74,57.00,117.06,107.48,79.18,133.12,118.94,131.51,167.04,141.61,229.13,216.64,159.41,93.73,78.93,80.17,79.93,78.85,90.42,78.00,65.69,74.96,19.96,44.75,117.19
37.98,85.32,50.05,19.52,43.17,113.92,145.76,57.30,99.42,18.00,7.28,8.26,54.61,12.84,10.77,105.20,19.79,14.68,150.31,29.00,20.98,8.29,15.33,45.27,45.65,17.96,43.59,94.71,20.97,33.00,149.95,30.03,35.10,12.99,34.68,104.54,26.80,40.27,106.31,66.02,46.11,102.90,116.48,45.48,86.92,174.29,53.98,84.08,114.47,96.36,97.47,98.83,97.33,110.38,97.15,82.60,91.23,20.41,45.27,117.93
